From Greg Thompson's file at https://www.aviationweather.gov/docs/metar/stations.txt
PFKW KWETHLUK 4 US AK 60.8 -161.43333 
PAML MANLEY_HOT_SPRIN 78 US AK 65 -150.65 
PAMB MANOKOTAK 28 US AK 58.98333 -159.05 
PADM MARSHALL 17 US AK 61.86666 -162.03333 
PAMX MCCARTHY 452 US AK 61.43333 -142.88333 
PAMC MCGRATH 101 US AK 62.96666 -155.61666 
PAIN MCKINLEY_PARK 525 US AK 63.73333 -148.91666 
PAMY MEKORYUK 14 US AK 60.36666 -166.26666 
PAMM METLAKATLA 0 US AK 55.13333 -131.58333 
PAIH MIDDLETON_IS_88D 20 US AK 59.46666 -146.3 
PAMD MIDDLETON_ISLAND 20 US AK 59.43333 -146.3 
PAMH MINCHUMINA 200 US AK 63.9 -152.28333 
PAMO MOUNTAIN_VILLAGE 93 US AK 62.1 -163.68333 
PABN NABESNA 880 US AK 62.4 -143 
PANA NAPAKIAK 7 US AK 60.68333 -161.98333 
PAOU NELSON_LAGOON 3 US AK 56 -161.16666 
PANN NENANA 110 US AK 64.55 -149.08333 
PANW NEW_STUYAHOK 100 US AK 59.45 -157.31666 
PAFS NIKOLAI 131 US AK 63.01666 -154.35 
PAWN NOATAK 26 US AK 67.56666 -162.98333 
PAOM NOME 6 US AK 64.5 -165.43333 
PFNO NOORVIK 14 US AK 66.81666 -161.01666 
PAOR NORTHWAY 524 US AK 62.96666 -141.93333 
PAQT NUIQSUT 11 US AK 70.21666 -151 
PPNU NUIQSUT 11 US AK 70.2 -150.98333 
PALP NUIQSUT_VILLAGE 4 US AK 70.33333 -150.93333 
PPIT NUNAPITCHUK 4 US AK 60.9 -162.43333 
POLI OLIKTOK_POINT 5 US AK 70.5 -149.88333 
PFNU OOOGURUK_ISLAND 8 US AK 70.5 -150.25 
PAAQ PALMER 68 US AK 61.6 -149.08333 
PAXK PAXSON 809 US AK 63.03333 -145.5 
PAPG PETERSBURG 24 US AK 56.81666 -132.93333 
PAPN PILOT_POINT 19 US AK 57.58333 -157.56666 
PAPM PLATINUM 4 US AK 59.01666 -161.81666 
PAPO POINT_HOPE 4 US AK 68.34999 -166.8 
PPIZ POINT_LAY 5 US AK 69.73333 -163 
PAAD POINT_THOMPSON 8 US AK 70.13333 -146.28333 
PATO PORTAGE_GLACIER 47 US AK 60.78333 -148.85 
PAAP PORT_ALEXANDER 4 US AK 56.23333 -134.65 
PALJ PORT_ALSWORTH 88 US AK 60.2 -154.3 
PAPC PORT_CLARENCE 3 US AK 65.25 -166.85 
PAPH PORT_HEIDEN 29 US AK 56.95 -158.61666 
PAPR PROSPECT_CREEK 324 US AK 66.81666 -150.65 
PAUD PRUDHOE_BAY 12 US AK 70.25 -148.33333 
PAPT PUNTILLA_LAKE 577 US AK 62.1 -152.71666 
PAQH QUINHAGAK 8 US AK 59.75 -161.85 
PADG REG_DOG 296 US AK 68.03333 -162.9 
PARD REG_DOG 297 US AK 68.03333 -162.9 
PARY RUBY 185 US AK 64.73333 -155.46666 
PARS RUSSIAN_MISSION 15 US AK 61.76666 -161.31666 
PASM SAINT_MARYS 108 US AK 62.06666 -163.3 
PASD SAND_POINT 6 US AK 55.33333 -160.51666 
PASA SAVOONGA 9 US AK 63.68333 -170.5 
PACM SCAMMON_BAY 3 US AK 61.85 -165.56666 
PASK SELAWIK 3 US AK 66.59999 -160 
PASO SELDOVIA 20 US AK 59.45 -151.69999 
PAWD SEWARD 3 US AK 60.11666 -149.41666 
PAHX SHAGELUK 20 US AK 62.7 -159.56666 
PFSH SHAKTOOLIK 6 US AK 64.36666 -161.21666 
PASH SHISHMAREF 3 US AK 66.26666 -166.08333 
PAGH SHUNGNAK 56 US AK 66.88333 -157.16666 
PACG SITKA/BIORKA/88D 63 US AK 56.85 -135.53333 
PASI SITKA 2 US AK 57.03333 -135.35 
PAGY SKAGWAY 7 US AK 59.46666 -135.31666 
PASW SKWENTNA 45 US AK 61.96666 -151.19999 
PADT SLANA 730 US AK 62.71666 -143.85 
PASL SLEETMUTE 64 US AK 61.68333 -157.15 
PALK SNOWSHOE_LAKE 736 US AK 62.03333 -146.66666 
PASX SOLDOTNA 28 US AK 60.48333 -151.05 
PFWS SOUTH_NAKNEK 40 US AK 58.7 -157 
PASV SPARREVOHN 462 US AK 61.1 -155.56666 
PAPB ST_GEORGE 33 US AK 56.58333 -169.66666 
PAMK ST_MICHAEL 31 US AK 63.48333 -162.11666 
PAER STONY_RIVER_LAND 358 US AK 61.26666 -153.81666 
PASN ST_PAUL_ISLAND 8 US AK 57.15 -170.21666 
PAJV SUTTON 263 US AK 61.71666 -148.88333 
PASP TAHNETNA_PASS_LO 799 US AK 61.81666 -147.55 
PATK TALKEETNA 107 US AK 62.31666 -150.1 
PATA TANANA 62 US AK 65.16666 -152.1 
PATL TATALINA_AFS 261 US AK 62.9 -155.96666 
PATE TELLER 93 US AK 65.23333 -166.33333 
PATC TIN_CITY_AFS 77 US AK 65.56666 -167.91666 
PATG TOGIAK 1 US AK 59.05 -160.38333 
PAOO TOKSOOK_BAY 15 US AK 60.53333 -165.08333 
PAUM UMIAT 79 US AK 69.36666 -152.13333 
PAUN UNALAKLEET 4 US AK 63.88333 -160.8 
PABR UTQIAGVIK 6 US AK 71.28333 -156.78333 
PAVD VALDEZ 21 US AK 61.13333 -146.25 
PAVW VALDEZ_WSO 11 US AK 61.13333 -146.35 
PAWI WAINWRIGHT 12 US AK 70.63333 -160.01666 
PAIW WALES 6 US AK 65.61666 -168.1 
PAWS WASILLA 102 US AK 61.56666 -149.53333 
PAWM WHITE_MOUNTAIN 80 US AK 64.68333 -163.41666 
PAWR WHITTIER 47 US AK 60.78333 -148.71666 
PAKX WILDER_NATWICK 88 US AK 60.2 -154.31666 
PAUO WILLOW 69 US AK 61.75 -150.05 
PAIZ WOLVERINE_ROAD 236 US AK 61.63333 -149.03333 
PAWG WRANGELL 6 US AK 56.48333 -132.36666 
PAYA YAKUTAT 9 US AK 59.51666 -139.66666 
KEET ALABASTER 172 US AL 33.18333 -86.78333 
K8A0 ALBERTVILLE_MUNI 313 US AL 34.23333 -86.25 
KALX ALEXANDER/RUSSEL 198 US AL 32.91666 -85.96666 
K79J ANDALUSIA/OPP_AR 93 US AL 31.31666 -86.4 
KANB ANNISTON 187 US AL 33.58333 -85.85 
KAUO AUBURN_OPELIKA_A 231 US AL 32.61666 -85.43333 
KAUB AUBURN_UNIV._AM 198 US AL 32.6 -85.5 
K1R8 BAY_MINETTE 76 US AL 30.86666 -87.81666 
KEKY BESSEMER 213 US AL 33.31666 -86.93333 
KBHM BIRMINGHAM 191 US AL 33.56666 -86.75 
KBMX BRMNGHM/ALABASTR 197 US AL 33.16666 -86.76666 
K0A8 CENTREVILLE_WSM 77 US AL 32.93333 -87.08333 
KCKL CENTREVILLE_WSM 140 US AL 32.88333 -87.25 
K9A4 COURTLAND 176 US AL 34.66666 -87.35 
K3A1 CULLMAN/FOLSOM_F 294 US AL 34.26666 -86.85 
KCMD CULLMAN/FOLSOM_F 294 US AL 34.26666 -86.85 
K4R9 DAUPHIN_ISLAND 2 US AL 30.26666 -88.13333 
KDCU DECATUR 180 US AL 34.65 -86.95 
KDYA DEMOPOLIS 33 US AL 32.46666 -87.95 
KDHN DOTHAN 113 US AL 31.31666 -85.45 
KEDN ENTERPRISE 103 US AL 31.3 -85.9 
KEUF EUFAULA 87 US AL 31.95 -85.13333 
KGZH EVERGREEN 77 US AL 31.41666 -87.05 
K4R4 FAIRHOPE 28 US AL 30.46666 -87.88333 
KCQF FAIRHOPE 21 US AL 30.46666 -87.88333 
K0J4 FLORALA_MUNI 96 US AL 31.05 -86.31666 
K4A9 FT_PAYNE/ISBELL 273 US AL 34.46666 -85.71666 
