From Greg Thompson's file at https://www.aviationweather.gov/docs/metar/stations.txt
KEQY MONROE 205 US NC 35.01666 -80.61666 
KMHX MOREHEAD/NEWPORT 9 US NC 34.76666 -76.86666 
KMRN MORGANTON/LENOIR 375 US NC 35.81666 -81.61666 
KMWK MOUNT_AIRY/SURRY 374 US NC 36.46666 -80.55 
KEWN NEW_BERN 3 US NC 35.06666 -77.05 
KNCA NEW_RIVER_MCAS 9 US NC 34.71666 -77.45 
KNBT PINEY_ISLAND 5 US NC 35.01666 -76.46666 
KPGV PITT_GREENVILLE 6 US NC 35.63333 -77.4 
KPOB POPE_AFB 57 US NC 35.16666 -79.01666 
KRDU RALEIGH/DURHAM 121 US NC 35.9 -78.78333 
KRAH RALEIGH/WFO 133 US NC 35.86666 -78.78333 
K78N REIDSVILLE 211 US NC 36.43333 -79.84999 
KSIF REIDSVILLE 206 US NC 36.43333 -79.84999 
KRZZ ROANOKE_RAPIDS 75 US NC 36.43333 -77.71666 
K45J ROCKINGHAM 109 US NC 34.88333 -79.76666 
KRCZ ROCKINGHAM 110 US NC 34.88333 -79.76666 
KRWI ROCKY_MOUNT 46 US NC 35.85 -77.9 
KTDF ROXBORO_PERSON 180 US NC 36.28333 -78.98333 
KFQD RUTHERFORDTON 325 US NC 35.41666 -81.93333 
KRUQ SALISBURY_ROWAN 231 US NC 35.65 -80.51666 
KTTA SANFORD 71 US NC 35.58333 -79.09999 
KLTX SHALLOTTE/WILM. 20 US NC 33.98333 -78.43333 
KEHO SHELBY_MUNI 261 US NC 35.25 -81.59999 
K5W8 SILER_CITY 188 US NC 35.7 -79.5 
KSCR SILER_CITY 182 US NC 35.7 -79.5 
KJNX SMITHFIELD_JOHNS 41 US NC 35.53333 -78.38333 
KSOP SOUTHERN_PINES 135 US NC 35.23333 -79.4 
KSUT SOUTHPORT 6 US NC 33.93333 -78.08333 
KSVH STATESVILLE 286 US NC 35.75 -80.95 
K2DP STUMPY_POINT 1 US NC 35.68333 -75.9 
K24A SYLVA 864 US NC 35.31666 -83.2 
KETC TARBORO 15 US NC 35.93333 -77.55 
KAFP WADESBORO/ANSON 91 US NC 35.01666 -80.08333 
KACZ WALLACE 30 US NC 34.73333 -78 
KOCW WASHINGTON 10 US NC 35.56666 -77.05 
KCPC WHITEVILLE 27 US NC 34.28333 -78.71666 
KUKF WILKESBORO 383 US NC 36.21666 -81.09999 
KILM WILMINGTON 9 US NC 34.26666 -77.9 
KINT WINSTON_SALEM 292 US NC 36.13333 -80.21666 
K20U BEACH 839 US ND 46.93333 -103.98333 
KBIS BISMARCK 506 US ND 46.76666 -100.75 
KBPP BOWMAN_MUNI 902 US ND 46.18333 -103.43333 
KBWW BOWMAN_RGNL 911 US ND 46.16666 -103.3 
K9D7 CANDO 451 US ND 48.48333 -99.23333 
K46D CARRINGTON 488 US ND 47.45 -99.15 
K2C8 CAVALIER 271 US ND 48.78333 -97.63333 
KS32 COOPERSTOWN 435 US ND 47.41666 -98.1 
KD50 CROSBY 591 US ND 48.93333 -103.3 
KDVL DEVILS_LAKE 439 US ND 48.11666 -98.91666 
KP11 DEVILS_LAKE 443 US ND 48.11666 -98.91666 
KDIK DICKINSON 788 US ND 46.8 -102.8 
KFGF FARGO/GRAND_FORK 274 US ND 46.9 -96.8 
KFAR FARGO 276 US ND 46.9 -96.81666 
KN60 GARRISON 582 US ND 47.65 -101.43333 
KD57 GLEN_ULLIN 636 US ND 46.81666 -101.86666 
KGAF GRAFTON 250 US ND 48.4 -97.36666 
KRDR GRAND_FORKS_AFB 276 US ND 47.93333 -97.4 
KGFK GRAND_FORKS 256 US ND 47.95 -97.18333 
KGWR GWINNER 381 US ND 46.21666 -97.65 
K5H4 HARVEY 490 US ND 47.78333 -99.93333 
KHZE HAZEN 542 US ND 47.28333 -101.58333 
KHEI HETTINGER 824 US ND 46.01666 -102.65 
KJMS JAMESTOWN 455 US ND 46.93333 -98.66666 
KD55 LANGDON/ROBERTSN 488 US ND 48.75 -98.4 
KP67 LIDGERWOOD_RAMO 351 US ND 46.1 -97.15 
K7L2 LINTON 541 US ND 46.21666 -100.25 
KY19 MANDAN 591 US ND 46.76666 -100.9 
KMVX MAYVILLE/FARGO 301 US ND 47.53333 -97.33333 
KMBX MCHENRY_CY/MINOT 455 US ND 48.4 -100.86666 
KMIB MINOT_AFB 505 US ND 48.41666 -101.35 
KMOT MINOT 507 US ND 48.25 -101.26666 
K2D5 OAKES 407 US ND 46.16666 -98.08333 
K06D ROLLA 554 US ND 48.88333 -99.61666 
KP24 ROSEGLEN 624 US ND 47.75 -101.83333 
KRUG RUGBY 469 US ND 48.38333 -100.01666 
K08D STANLEY 683 US ND 48.3 -102.4 
KD60 TIOGA 682 US ND 48.38333 -102.9 
KBAC VALLEY_CITY 423 US ND 46.93333 -98.01666 
KBWP WAHPETON 294 US ND 46.25 -96.61666 
K96D WALHALLA 290 US ND 48.93333 -97.9 
KS25 WATFORD_CITY 632 US ND 47.8 -103.25 
KXWA WILLISTON_BASIN 717 US ND 48.26666 -103.75 
KISN WILLISTON 582 US ND 48.16666 -103.63333 
KANW AINSWORTH_MUNICI 788 US NE 42.56666 -100 
KBVN ALBION_MUNI 547 US NE 41.73333 -98.05 
KAIA ALLIANCE 1198 US NE 42.05 -102.8 
KAUH AURORA 549 US NE 40.88333 -98 
KBIE BEATRICE_MUNICIP 398 US NE 40.28333 -96.75 
K42V BENKELMAN-JONES 953 US NE 40.04999 -101.53333 
KBTA BLAIR_MUNI 400 US NE 41.41666 -96.11666 
KK46 BLAIR_MUNI 396 US NE 41.41666 -96.11666 
K1BW BRAVO_MADIS 1606 US NE 41.51666 -104 
KBBW BROKEN_BOW_MUNI 771 US NE 41.43333 -99.63333 
KBUB BURWELL 664 US NE 41.78333 -99.15 
KCDR CHADRON 1002 US NE 42.83333 -103.1 
KCHM CHAMPION 1029 US NE 40.38333 -101.71666 
K1CW CHARLIE_MADIS 1370 US NE 41.58333 -103.56666 
KOLU COLUMBUS_MUNI 438 US NE 41.45 -97.33333 
KCZD COZAD 800 US NE 40.86666 -100 
K1DW DELTA_MADIS 1539 US NE 41.36666 -103.8 
K1EW ECHO_MADIS 1609 US NE 41.11666 -103.98333 
KFNB FALLS_CITY/BRENN 301 US NE 40.06666 -95.58333 
K1FW FOXTROT_MADIS 1451 US NE 41.36666 -103.48333 
KFET FREMONT_MUNI_ARP 366 US NE 41.45 -96.51666 
K1GW GOLF_MADIS 1335 US NE 41.21666 -103.1 
KGRN GORDON 1080 US NE 42.8 -102.16666 
KGRI GRAND_ISLAND 562 US NE 40.96666 -98.31666 
KGID GRAND_ISLAND/WFO 563 US NE 40.96666 -98.31666 
KHSI HASTINGS 592 US NE 40.6 -98.43333 
KHJH HEBRON_MUNI 449 US NE 40.15 -97.58333 
KHDE HOLDREGE/BREWSTR 703 US NE 40.45 -99.33333 
K1HW HOTEL_MADIS 1265 US NE 41.31666 -102.83333 
KIML IMPERIAL_MUNICIP 997 US NE 40.51666 -101.61666 
K1IW INDIA_MADIS 1294 US NE 41.04999 -102.86666 
KEAR KEARNEY_MUNI 649 US NE 40.71666 -99 
K1KW KILO_MADIS 1443 US NE 41.13333 -103.48333 
KIBM KIMBALL_MUNI 1494 US NE 41.18333 -103.68333 
KLXN LEXINGTON 734 US NE 40.78333 -99.76666 
KLNK LINCOLN 357 US NE 40.85 -96.76666 
KMCK MCCOOK 780 US NE 40.2 -100.58333 
KMHN MULLEN 994 US NE 42.05 -101.06666 
KAFK NEBRASKA_CITY 353 US NE 40.6 -95.85 
KOFK NORFOLK 476 US NE 41.98333 -97.43333 
KOVN NORTH_OMAHA 406 US NE 41.36666 -96.01666 
KLBF NORTH_PLATTE 843 US NE 41.11666 -100.66666 
KOFF OFFUTT_AFB/BELLE 308 US NE 41.11666 -95.91666 
KGWC OFFUTT/AFWA 319 US NE 41.11666 -95.91666 
KOGA OGALLALA 991 US NE 41.11666 -101.76666 
KOMA OMAHA/EPPLEY 299 US NE 41.31666 -95.9 
KMLE OMAHA/MILLARD 318 US NE 41.2 -96.11666 
KOAX OMAHA/VALLEY/88D 350 US NE 41.31666 -96.36666 
KOVR OMAHA_VOR 312 US NE 41.16666 -95.73333 
KONL O'NEILL 619 US NE 42.46666 -98.68333 
KODX ORD/SHARP_FIELD 628 US NE 41.61666 -98.95 
KPWE PAWNEE_CITY 415 US NE 40.2 -96.2 
KPMV PLATTSMOUTH_MUNI 365 US NE 40.95 -95.91666 
KBFF SCOTTSBLUFF 1204 US NE 41.86666 -103.6 
KSNY SIDNEY 1307 US NE 41.1 -102.98333 
KTQE TEKAMAH 312 US NE 41.76666 -96.18333 
KLNX THEDFORD/LBF/88D 905 US NE 41.95 -100.58333 
KTIF THEDFORD/THOMAS 888 US NE 41.96666 -100.56666 
KVTN VALENTINE 790 US NE 42.86666 -100.55 
KAHQ WAHOO 372 US NE 41.23333 -96.6 
KLCG WAYNE_MUNI 434 US NE 42.25 -96.98333 
KUEX WEBSTER_CNTY/88D 602 US NE 40.31666 -98.45 
KOBH WOLBACH_VOR 670 US NE 41.38333 -98.35 
KJYR YORK 508 US NE 40.9 -97.61666 
KBML BERLIN 344 US NH 44.58333 -71.18333 
KCON CONCORD 102 US NH 43.2 -71.5 
K8B2 DIAMOND_LAKE 678 US NH 44.95 -71.31666 
KAFN JAFFREY 308 US NH 42.8 -72 
KEEN KEENE/DILLANT 143 US NH 42.88333 -72.26666 
KLCI LACONIA_MUNI 166 US NH 43.56666 -71.41666 
KLEB LEBANON 169 US NH 43.63333 -72.3 
KMHT MANCHESTER 68 US NH 42.93333 -71.43333 
KMWN MOUNT_WASHINGTON 1911 US NH 44.26666 -71.3 
KZBW NASHUA/ARTCC-BOS 61 US NH 42.73333 -71.48333 
KASH NASHUA/BOIRE_FLD 56 US NH 42.78333 -71.51666 
KNGR NORTH_GROTON 390 US NH 43.76666 -71.86666 
K1P1 PLYMOUTH 155 US NH 43.78333 -71.75 
KPSM PORTSMOUTH/PEASE 34 US NH 43.08333 -70.81666 
K6B1 ROCHESTER 100 US NH 43.28333 -70.91666 
KDAW ROCHESTER 100 US NH 43.28333 -70.91666 
KTMW TAMWORTH 241 US NH 43.9 -71.3 
KHIE WHITEFIELD 321 US NH 44.36666 -71.55 
KN85 ALEXANDRIA 146 US NJ 40.58333 -75.01666 
K12N ANDOVER 178 US NJ 41.01666 -74.73333 
KACY ATLANTIC_CITY 18 US NJ 39.45 -74.56666 
KBLM BELMAR/FARMDALE 45 US NJ 40.16666 -74.11666 
K1N7 BLAIRSTOWN 113 US NJ 40.96666 -75 
KCDW CALDWELL 52 US NJ 40.88333 -74.28333 
KCYN COYLE_VOR 70 US NJ 39.81666 -74.43333 
K17N CROSS_KEYS 49 US NJ 39.7 -75.03333 
KN81 HAMMONTON 20 US NJ 39.66666 -74.75 
KNEL LAKEHURST_NAS 26 US NJ 40.03333 -74.33333 
KN12 LAKEWOOD 13 US NJ 40.06666 -74.18333 
KN07 LINCOLN_PARK 56 US NJ 40.95 -74.31666 
KLDJ LINDEN 6 US NJ 40.61666 -74.25 
KN14 LUMBERTON 15 US NJ 39.93333 -74.8 
KDIX MANCHESTER_88D 45 US NJ 39.95 -74.41666 
K47N MANVILLE 26 US NJ 40.51666 -74.59999 
KMIV MILLVILLE 18 US NJ 39.36666 -75.08333 
KMMU MORRISTOWN_MUNI 55 US NJ 40.78333 -74.41666 
KVAY MOUNT_HOLLY 15 US NJ 39.93333 -74.83333 
KPHI MT_HOLLY/PHL/WFO 4 US NJ 40.01666 -74.81666 
KEWR NEWARK 2 US NJ 40.68333 -74.16666 
KNBK NEW_BRUNSWICK 5 US NJ 40.48333 -74.43333 
K26N OCEAN_CITY 2 US NJ 39.26666 -74.59999 
K3N6 OLD_BRIDGE 27 US NJ 40.33333 -74.34999 
KN40 PITTSTOWN 171 US NJ 40.56666 -74.98333 
K39N PRINCETON 39 US NJ 40.4 -74.66666 
KN87 ROBBINSVILLE 36 US NJ 40.21666 -74.59999 
K56N SANDY_HOOK_CGS 5 US NJ 40.46666 -74.01666 
KSIE SEA_ISLE_VOR 30 US NJ 39.1 -74.8 
KN52 SOMERVILLE 30 US NJ 40.61666 -74.66666 
KSJB SOMERVILLE 30 US NJ 40.61666 -74.66666 
KSMQ SOMERVILLE 30 US NJ 40.61666 -74.66666 
KSAX SPARTA_VOR 30 US NJ 41.06666 -74.53333 
KFWN SUSSEX 129 US NJ 41.2 -74.63333 
KN63 SUSSEX 119 US NJ 41.2 -74.59999 
KTEB TETERBORO 3 US NJ 40.86666 -74.05 
KMJX TOMS_RIVER 22 US NJ 39.93333 -74.3 
KTTN TRENTON 58 US NJ 40.28333 -74.81666 
K4N1 WEST_MILFORD 241 US NJ 41.13333 -74.34999 
KWWD WILDWOOD 4 US NJ 39.01666 -74.91666 
KOBI WOODBINE_MUNI 13 US NJ 39.21666 -74.8 
KWRI WRIGHTST/MCGUIRE 35 US NJ 40.01666 -74.58333 
KALM ALAMOGORDO_WHITE 1267 US NM 32.83333 -105.98333 
KZAB ALBUQUERQU/ARTCC 1621 US NM 35.16666 -106.56666 
KABX ALBUQUERQUE/88D 1789 US NM 35.15 -106.81666 
KABQ ALBUQUERQUE 1620 US NM 35.04999 -106.61666 
KAXX ANGEL_FIRE 2543 US NM 36.41666 -105.28333 
KATS ARTESIA 1073 US NM 32.85 -104.46666 
KBRG BELEN 1585 US NM 34.65 -106.83333 
KE80 BELEN 1582 US NM 34.65 -106.83333 
KFDX CANNON_AFB/88D 1417 US NM 34.63333 -103.61666 
KCVS CANNON_AFB/CLOVI 1305 US NM 34.36666 -103.31666 
KCNM CARLSBAD 993 US NM 32.33333 -104.25 
KE33 CHAMA_AWRS 2393 US NM 36.88333 -106.56666 
KCME CHISUM/ROSWELL 1150 US NM 33.33333 -104.61666 
KCIM CIMARRON_VOR 2183 US NM 36.48333 -104.86666 
KCAO CLAYTON 1517 US NM 36.45 -103.15 
KCQC CLINES_CORNERS 2163 US NM 35 -105.66666 
KP70 CLINES_CORNERS 2109 US NM 34.91666 -105.56666 
KCVN CLOVIS_MUNI 1278 US NM 34.41666 -103.06666 
K4CR CORONA/LINCOLN 1981 US NM 34.1 -105.66666 
KDMN DEMING 1310 US NM 32.26666 -107.71666 
KAEG DOUBLE_EAGLE_II 1771 US NM 35.13333 -106.8 
KFMN FARMINGTON 1677 US NM 36.75 -108.23333 
KFTI FT_UNION/VEGAS 2094 US NM 35.65 -105.13333 
KGUP GALLUP 1972 US NM 35.51666 -108.8 
KGNT GRANTS 1988 US NM 35.16666 -107.9 
KHBB HOBBS/INDUST 1130 US NM 32.76666 -103.21666 
KHOB HOBBS/LEA_CO. 1112 US NM 32.66666 -103.21666 
KHMN HOLLOMAN_AFB 1240 US NM 32.85 -106.1 
KIKR KIRTLAND_AFB-ABQ 1613 US NM 35.04999 -106.6 
KLRU LAS_CRUCES_INTL 1355 US NM 32.28333 -106.91666 
KLVS LAS_VEGAS 2095 US NM 35.65 -105.13333 
KLSB LORDSBURG 1308 US NM 32.33333 -108.7 
KLAM LOS_ALAMOS 2166 US NM 35.86666 -106.26666 
KM63 MCGREGOR_RANGE 1256 US NM 32.06666 -106.15 
K4MR MELROSE_G_RANGE 1339 US NM 34.29999 -103.8 
K0E0 MORIARTY 1887 US NM 34.98333 -106 
K4MY MORIARTY 1890 US NM 34.98333 -106 
KRTN RATON 1939 US NM 36.73333 -104.5 
KRSK RATTLESNAKE-FMN 1775 US NM 36.75 -108.1 
KROW ROSWELL 1105 US NM 33.29999 -104.5 
KSAF SANTA_FE 1918 US NM 35.61666 -106.1 
KSXU SANTA_ROSA 1465 US NM 34.93333 -104.65 
KEPZ SANTA_TERESA/88D 1251 US NM 31.86666 -106.7 
K5T6 SANTA_TERESA 1253 US NM 31.88333 -106.7 
KDNA SANTA_TERESA 1254 US NM 31.88333 -106.7 
KSRR SIERRA_B/RUIDOSO 2063 US NM 33.46666 -105.51666 
KSVC SILVER_CITY 1638 US NM 32.63333 -108.15 
KONM SOCORRO 1467 US NM 34.01666 -106.9 
K0A0 SPACEPORT_AMERIC 1401 US NM 32.98333 -106.96666 
KE23 TAOSAWRS 2123 US NM 36.41666 -105.56666 
KSKX TAOS_MUNI_APT 2163 US NM 36.45 -105.66666 
K4SL TORREON/CUBA 2106 US NM 35.78333 -107.16666 
KTCS TRUTH_OR_CONSEQ. 1471 US NM 33.23333 -107.26666 
KTCC TUCUMCARI 1233 US NM 35.18333 -103.6 
KE28 WHITE_SANDS 1192 US NM 32.93333 -106.41666 
K2C2 WHITE_SANDS_TEST 1244 US NM 32.36666 -106.46666 
KHDX W_SANDS/HOLLOMAN 1287 US NM 33.08333 -106.11666 
KZUN ZUNI_PUEBLO 1972 US NM 35.08333 -108.78333 
KTMT AUSTIN 1748 US NV 39.46666 -117.2 
KU31 AUSTIN 2014 US NV 39.5 -117.06666 
KB23 BATTLE_MOUNTAIN 1381 US NV 40.6 -116.86666 
KBAM BATTLE_MTN_VOR 1381 US NV 40.6 -116.86666 
KBTY BEATTY 892 US NV 36.79999 -116.73333 
KBVU BOULDER_CITY 654 US NV 35.95 -114.86666 
KP38 CALIENTE 1333 US NV 37.61666 -114.53333 
KCXP CARSON_CITY 1431 US NV 39.18333 -119.73333 
KOAL COALDALE_VOR 1600 US NV 38 -117.76666 
KDRA DESERT_R/MERCURY 988 US NV 36.61666 -116.03333 
KEKO ELKO 1541 US NV 40.81666 -115.78333 
KLRX ELKO/LANDER_88D 2056 US NV 40.73333 -116.8 
KLKN ELKO/WFO 1608 US NV 40.86666 -115.71666 
KELY ELY 1906 US NV 39.29999 -114.85 
K05U EUREKA 1813 US NV 39.6 -116 
KP68 EUREKA 1813 US NV 39.6 -116 
KNFL FALLON_NAS 1199 US NV 39.41666 -118.7 
KHTH HAWTHORNE 1281 US NV 38.54999 -118.63333 
KINS INDIAN_SPRINGS 954 US NV 36.58333 -115.68333 
KL76 INDIAN_SPRINGS 1153 US NV 36.53333 -115.56666 
KL63 IND_SPRNG_RANGE 972 US NV 36.51666 -115.56666 
K06U JACKPOT 1589 US NV 41.98333 -114.65 
KLAS LAS_VEGAS 662 US NV 36.06666 -115.16666 
KLSV LAS_VEGAS/NELLIS 563 US NV 36.23333 -115.05 
KESX LAS_VEGAS/NELSON 1483 US NV 35.7 -114.88333 
KVEF LAS_VEGAS/WFO 694 US NV 36.04999 -115.18333 
KLOL LOVELOCK 1191 US NV 40.06666 -118.56666 
KMEV MINDEN 1437 US NV 38.98333 -119.75 
KVGT NORTH_LAS_VEGAS 664 US NV 36.21666 -115.2 
KOWY OWYHEE 1645 US NV 41.95 -116.1 
KRNO RENO 1344 US NV 39.5 -119.76666 
KRTS RENO/STEAD 1537 US NV 39.66666 -119.88333 
KFMG RENOVOR 1342 US NV 39.53333 -119.65 
KRGX RENO/WASHOE_CTY 2530 US NV 39.75 -119.46666 
KREV RENO/WFO 1516 US NV 39.56666 -119.8 
KTPH TONOPAH 1647 US NV 38.04999 -117.08333 
KTNX TONOPAH_MILITARY 1691 US NV 37.78333 -116.76666 
KBJN TONOPAH_RANGE74 1813 US NV 37.61666 -116.26666 
KHND VEGAS/HENDERSON 740 US NV 35.98333 -115.13333 
K9BB WELLS 1723 US NV 41.1 -114.96666 
KAWH WILDHORSE_RES/EL 1902 US NV 41.66666 -115.76666 
KILC WILSON_CREEK 2840 US NV 38.25 -114.38333 
KWMC WINNEMUCCA 1311 US NV 40.9 -117.8 
KUCC YUCCA_FLAT 1195 US NV 36.95 -116.05 
KYUC YUCCA_FLATS 1198 US NV 36.95 -116.03333 
KENX ALBANY/E._BERNE 557 US NY 42.58333 -74.06666 
KALB ALBANY 82 US NY 42.75 -73.8 
KALY ALBANY/WFO 88 US NY 42.75 -73.8 
KN28 AMBROSE 26 US NY 40.45 -73.18333 
KGVQ BATAVIA 279 US NY 43.03333 -78.16666 
KBGM BINGHAMTON 485 US NY 42.21666 -75.98333 
K1B8 BOONVILLE 482 US NY 43.45 -75.34999 
KHWV BROOKHAVEN 20 US NY 40.81666 -72.86666 
KOKX BROOKHAVEN/UPTON 26 US NY 40.86666 -72.86666 
KBUF BUFFALO/CHEEKTOW 217 US NY 42.93333 -78.73333 
KD38 CANANDAIGUA 248 US NY 42.9 -77.31666 
KIUA CANANDAIGUA 248 US NY 42.91666 -77.33333 
KCOL COLDEN 312 US NY 42.66666 -78.68333 
KCOO COOPERSTOWN 378 US NY 42.7 -74.91666 
KN03 CORTLAND 361 US NY 42.6 -76.21666 
KDSV DANSVILLE 195 US NY 42.56666 -77.71666 
KDKK DUNKIRK 205 US NY 42.5 -79.28333 
KHTO EAST_HAMPTON 10 US NY 40.95 -72.25 
KELB ELLENBURG_DEPOT 262 US NY 44.9 -73.8 
KELM ELMIRA 287 US NY 42.15 -76.9 
KCZG ENDICOTT/TRI-CIT 254 US NY 42.08333 -76.09999 
KFRG FARMINGDALE 23 US NY 40.73333 -73.41666 
KTYX FORT_DRUM/88D 562 US NY 43.75 -75.68333 
KGTB FORT_DRUM/WHEELE 206 US NY 44.06666 -75.71666 
KFZY FULTON 143 US NY 43.35 -76.38333 
KN00 FULTON/OSWEGO_CT 145 US NY 43.35 -76.38333 
KGFL GLENS_FALLS 99 US NY 43.33333 -73.61666 
KRMX GRIFFISS_AFB/88D 154 US NY 43.46666 -75.45 
KVGC HAMILTON_MUNICIP 346 US NY 42.85 -75.56666 
KHNK HANCOCK_VOR 690 US NY 42.06666 -75.31666 
K4G6 HORNELL 372 US NY 42.38333 -77.68333 
K1B1 HUDSON/COLUMBIA 60 US NY 42.28333 -73.71666 
KISP ISLIP 25 US NY 40.79999 -73.09999 
KITH ITHACA/TOMPKINS 338 US NY 42.48333 -76.45 
KJHW JAMESTOWN 520 US NY 42.15 -79.26666 
KNY0 JOHNSTOWN 266 US NY 42.98333 -74.33333 
KMAL MALONE 268 US NY 44.85 -74.3 
KJRB MANHATTAN/DWNTWN 2 US NY 40.7 -74.01666 
KMSS MASSENA 60 US NY 44.93333 -74.84999 
KMTP MONTAUK 2 US NY 41.06666 -71.91666 
KMGJ MONTGOMERY 106 US NY 41.51666 -74.26666 
KMSV MONTICELLO 427 US NY 41.7 -74.78333 
KSWF NEWBURGH/STEWART 139 US NY 41.5 -74.08333 
KZNY NEW_YORK/ARTCC 48 US NY 40.79999 -73.09999 
KIAG NIAGARA_FALLS 179 US NY 43.11666 -78.93333 
KOIC NORWICH 311 US NY 42.56666 -75.51666 
KNYC NYC/CENTRAL_PARK 33 US NY 40.78333 -73.96666 
KJFK NYC/JFK_ARPT 3 US NY 40.63333 -73.76666 
KLGA NYC/LA_GUARDIA 9 US NY 40.78333 -73.88333 
KOGS OGDENSBURG_INTL 88 US NY 44.66666 -75.46666 
KOLE OLEAN 651 US NY 42.23333 -78.36666 
KOZX ONEONTA 351 US NY 42.38333 -75.15 
KPEO PENN_YAN 268 US NY 42.65 -77.05 
KPIC PISECO_LAKE 527 US NY 43.45 -74.53333 
KPBG PLATTSBURGH_AFB 61 US NY 44.65 -73.46666 
KPLB PLATTSBURGH 106 US NY 44.68333 -73.53333 
KPTD POTSDAM 144 US NY 44.68333 -74.95 
KPOU POUGHKEEPSIE 45 US NY 41.63333 -73.88333 
KROC ROCHESTER 166 US NY 43.11666 -77.68333 
KRME ROME/GRIFFISS_AF 146 US NY 43.21666 -75.4 
KSLK SARANAC_LAKE 502 US NY 44.4 -74.2 
K5B2 SARATOGA_SPRINGS 132 US NY 43.05 -73.86666 
KSCH SCHENECTADY_AIRP 100 US NY 42.85 -73.91666 
KN23 SIDNEY 313 US NY 42.3 -75.41666 
K6B9 SKANEATELES 306 US NY 42.91666 -76.43333 
KSLD SLIDE_MOUNTAIN 610 US NY 41.96666 -74.34999 
KSTM STORMVILLE 279 US NY 41.53333 -73.73333 
KSYR SYRACUSE 125 US NY 43.11666 -76.09999 
KUCA UTICA 228 US NY 43.15 -75.38333 
KWRS WARSAW 555 US NY 42.68333 -78.2 
KART WATERTOWN 100 US NY 43.98333 -76.03333 
KELZ WELLSVILLE 639 US NY 42.1 -77.98333 
KFOK WESTHAMPTON_BEAC 13 US NY 40.85 -72.61666 
KHPN WHITE_PLAINS 113 US NY 41.06666 -73.7 
KSDC WILLIAMSON/SODUS 127 US NY 43.23333 -77.11666 
KAKR AKRON_FULTON 319 US OH 41.03333 -81.46666 
KCAK AKRON 369 US OH 40.91666 -81.45 
KAPE APPLETON 453 US OH 40.15 -82.58333 
K7G2 ASHTABULA 276 US OH 41.78333 -80.7 
KHZY ASHTABULA 279 US OH 41.78333 -80.7 
KSHI ASHTABULA 276 US OH 41.78333 -80.7 
KUNI ATHENS 232 US OH 39.21666 -82.23333 
KI69 BATAVIA 238 US OH 39.08333 -84.21666 
KAIR BELLAIRE_VOR 430 US OH 40.01666 -80.81666 
KEDJ BELLEFONTAINE 341 US OH 40.36666 -83.81666 
KCDI CAMBRIDGE 241 US OH 39.96666 -81.58333 
KRZT CHILLICOTHE 217 US OH 39.43333 -83.01666 
KLUK CINCINNAT/LUNKEN 144 US OH 39.1 -84.41666 
KCYO CIRCLEVILLE 209 US OH 39.51666 -82.98333 
KZOB CLEVELAND/ARTCC 241 US OH 41.29999 -82.2 
KBKL CLEVELAND 177 US OH 41.53333 -81.66666 
KCLE CLEVELAND 237 US OH 41.41666 -81.84999 
KCGF CLEVLND/CUYAHOGA 265 US OH 41.56666 -81.46666 
K2I4 COLUMBUS/BOLTON 290 US OH 39.9 -83.13333 
KTZR COLUMBUS/BOLTON 275 US OH 39.9 -83.13333 
KCMH COLUMBUS 257 US OH 40 -82.88333 
KOSU COLUMBUS/ST_UNIV 276 US OH 40.08333 -83.08333 
KDAY DAYTON 303 US OH 39.9 -84.21666 
KMGY DAYTON 290 US OH 39.6 -84.23333 
KDFI DEFIANCE 215 US OH 41.33333 -84.43333 
KDLZ DELAWARE 287 US OH 40.28333 -83.11666 
KFDY FINDLAY 247 US OH 41.01666 -83.66666 
KFBC FLAG_CITY 247 US OH 41.01666 -83.66666 
KHAO HAMILTON 185 US OH 39.36666 -84.51666 
KI67 HARRISON 177 US OH 39.25 -84.78333 
KI43 JACKSON 221 US OH 38.98333 -82.58333 
KI15 LANCASTER 265 US OH 39.75 -82.65 
KLHQ LANCASTER 259 US OH 39.75 -82.66666 
KI68 LEBANON 274 US OH 39.46666 -84.25 
KAOH LIMA 294 US OH 40.7 -84.01666 
KUYF LONDON 326 US OH 39.93333 -83.46666 
K22G LORAIN/ELYRIA 241 US OH 41.35 -82.18333 
KLPR LORAIN/ELYRIA 241 US OH 41.35 -82.18333 
KMFD MANSFIELD 394 US OH 40.81666 -82.51666 
KMNN MARION 301 US OH 40.61666 -83.06666 
KMRT MARYSVILLE 302 US OH 40.21666 -83.34999 
KMWO MIDDLETOWN/HOOK 197 US OH 39.53333 -84.4 
K4I3 MT_VERNON/KNOX 361 US OH 40.33333 -82.53333 
K2I8 NEWARK 268 US OH 40.01666 -82.46666 
KVTA NEWARK 268 US OH 40.01666 -82.46666 
KPHD NEW_PHILADELPHIA 272 US OH 40.46666 -81.41666 
KOWX OTTAWA 232 US OH 41.03333 -83.98333 
KOXD OXFORD 317 US OH 39.5 -84.78333 
KPCW PORT_CLINTON 179 US OH 41.51666 -82.86666 
KPMH PORTSMOUTH 200 US OH 38.83333 -82.84999 
K29G RAVENA/PORTAGE 365 US OH 41.21666 -81.25 
KPOV RAVENA/PORTAGE 363 US OH 41.21666 -81.25 
KLCK RICKENBACKER_ANG 225 US OH 39.81666 -82.91666 
KROD ROSEWOOD_VOR 360 US OH 40.28333 -84.03333 
KSGH SPRINGFIELD_MUNI 318 US OH 39.83333 -83.83333 
